d [mm],Q [m^3/s],T [C],h1 [m],h2 [m],V_avg [m/s],v [m^2/s],Re_D,f_e,f_c,h_e [m],h_c [m]
7.7,0.0004527574218749999,25.5,-0.476806640625,9.7177734375,9.72286479513562,8.956e-07,83593.187720572,0.016297927931847023,0.01851115233787968,10.194580078125,11.58392612033722
7.7,0.00034945839843750003,25.5,-0.29970703125,6.103125,7.504541273915359,8.956e-07,64520.95557073275,0.017184817618707854,0.019574820434275855,6.40283203125,7.297849690716904
7.7,0.00025495078125,25.5,-0.20888671875,3.8712158203125,5.4750112438627765,8.956e-07,47071.89211449686,0.02057941772317664,0.020998573219804563,4.0801025390625,4.167167248203612
7.7,0.00015384960937500001,25.5,-0.113525390625,1.7369384765625,3.3038860954344345,8.956e-07,28405.452138058445,0.025610626654457246,0.02362358952088939,1.8504638671875,1.7068929788981577
7.7,5.7144140625e-05,25.5,-0.1248779296875,0.6380126953125,1.2271576925899328,8.956e-07,10550.596508421708,0.07773493824256858,0.03046808720762838,0.762890625,0.3045433153807281
10.9,0.0006395748046875,25.5,3.85078125,7.6629638671875,6.854068960057177,8.956e-07,83418.21311369275,0.01735611277712918,0.018519285465646435,3.8121826171875,4.068248409107999
10.9,0.0005538585937500001,25.5,2.97890625,5.916943359375,5.93548239840003,8.956e-07,72238.45259330093,0.017839170417000307,0.019099683159975393,2.938037109375,3.1465599880701065
10.9,0.000457153125,25.5,2.111572265625,4.1709228515625,4.8991283288381196,8.956e-07,59625.38944208967,0.018358104405937874,0.019917060053211106,2.0593505859375,2.2354810351423717
10.9,0.0003450626953125,25.5,1.2919189453125,2.6178955078125,3.6978997482095424,8.956e-07,45005.70260773114,0.02074913010803332,0.021213600643617197,1.3259765625,1.3566154772413779
10.9,0.00024396152343750003,25.5,0.71748046875,1.44404296875,2.614438675485727,8.956e-07,31819.318404192083,0.02275358432433417,0.022993429499655903,0.7265625,0.7350376914535725
10.9,0.00014945390625,25.5,0.3451171875,0.694775390625,1.60163810750477,8.956e-07,19492.9157791447,0.029248998399311783,0.025921315335637123,0.349658203125,0.31112803700947766
10.9,5.934199218749999e-05,25.5,0.1475830078125,0.295166015625,0.6359445426857174,8.956e-07,7739.8342064251,0.07990159732103344,0.03323511646116923,0.1475830078125,0.06307470781182897
17.2,0.00074726953125,25.5,5.3515869140625,5.9033203125,3.2161070773499474,8.956e-07,61765.34360252244,0.01800096239436294,0.019762597528706842,0.5517333984375,0.6057278970751303
17.2,0.0006483662109375,25.5,4.0505859375,4.4978759765625,2.7904458465242192,8.956e-07,53590.5187139533,0.019385163990731865,0.02039400174225237,0.4472900390625,0.47056779299334484
17.2,0.0005582542968750001,25.5,3.1264892578125,3.4443603515625,2.402621169549667,8.956e-07,46142.3449265903,0.018586172282551907,0.021093048421472395,0.31787109375,0.3608254575604303
17.2,0.0004505595703124999,25.5,2.175146484375,2.374951171875,1.9391233848727623,8.956e-07,37240.86893681499,0.017931731821924077,0.022158072967434276,0.1998046875,0.24689677989983205
17.2,0.00035165625,25.5,1.4781005859375,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245858,0.018063465736010035,0.023493620760538517,0.122607421875,0.15946509457574695
17.2,0.0002637421875,25.5,0.976318359375,1.039892578125,1.1350966155352757,8.956e-07,21799.53303618439,0.016651095987103893,0.025201050559130182,0.06357421875,0.09621811694658368
15.2,0.0007450716796875,25.5,6.625341796875,11.5591552734375,4.106019417591652,8.956e-07,69686.79672553945,0.08728338893890097,0.10886962844052253,4.9338134765625,6.154902654542625
15.2,0.0006527619140625001,25.5,5.217626953125,9.0525146484375,3.5973090472705636,8.956e-07,61053.03429936641,0.08840487236406613,0.10890760112859307,3.8348876953125,4.726073536984151
15.2,0.0005560564453125001,25.5,3.8939208984375,6.6730224609375,3.06437437360085,8.956e-07,52008.1403290899,0.08827738584652686,0.10896089177527382,2.7791015625,3.431248246844775
15.2,0.00044176816406249996,25.5,2.6769287109375,4.481982421875,2.4345424865366434,8.956e-07,41318.720182399484,0.09083878567027007,0.10905391171800369,1.8050537109375,2.1675843931404133
15.2,0.0003582498046875,25.5,1.9458251953125,3.1900634765625,1.9742807229128005,8.956e-07,33507.220844433425,0.09523948916172541,0.1091594495714358,1.24423828125,1.4270316828135514
15.2,0.000241763671875,25.5,1.1738525390625,1.7868896484375,1.3323366841742825,8.956e-07,22612.23492569126,0.10299150017770517,0.10942788242283905,0.613037109375,0.651348437587341
