d_err [mm],Q_err [m^3/s],T_err [C],h1_err [m],h2_err [m],V_avg_err [m/s],Re_D_err,f_e_err,f_c_err,h_e_err [m],h_c_err [m]
0.05,5e-06,0.05,0.1,0.1,0.16575323557185384,1524.9582083603198,0.0006306707641615527,0.00016540924903213212,0.14142135623730953,0.4151565942896454
0.05,5e-06,0.05,0.1,0.1,0.14501290004682993,1315.2774157242588,0.0007920745013970939,0.0002010079463337261,0.14142135623730953,0.29562504221479
0.05,5e-06,0.05,0.1,0.1,0.1287865399160142,1148.673981049359,0.0012278139815863516,0.00026738229712489574,0.14142135623730953,0.20485851718947176
0.05,5e-06,0.05,0.1,0.1,0.11562964417828406,1011.1027066875984,0.002671755679786743,0.0004652805508293629,0.14142135623730953,0.12460955491542243
0.05,5e-06,0.05,0.1,0.1,0.10855694271122188,935.8530426500796,0.02008361965052578,0.0017106072984258013,0.14142135623730953,0.05629007532943107
0.05,5e-06,0.05,0.1,0.1,0.08261527465755465,1075.8302745128417,0.0007913260633830316,0.00011701239164754085,0.14142135623730953,0.10308730307638832
0.05,5e-06,0.05,0.1,0.1,0.07639706343977402,987.0835121619253,0.0009934110490895495,0.00012985285570792261,0.14142135623730953,0.08500870472328712
0.05,5e-06,0.05,0.1,0.1,0.0699389644784539,894.0653925334616,0.0013801718541438072,0.00015174782007622024,0.14142135623730953,0.06684662890970297
0.05,5e-06,0.05,0.1,0.1,0.06342153437143824,799.0136227352598,0.0023362395602030397,0.00019751789607262834,0.14142135623730953,0.048610473920863526
0.05,5e-06,0.05,0.1,0.1,0.05870780851786393,729.2690906502777,0.004552328864937833,0.00028777669851206384,0.14142135623730953,0.03442636072857858
0.05,5e-06,0.05,0.1,0.1,0.055563581422817934,682.1352882095266,0.012015263473027215,0.0005266459183535152,0.14142135623730953,0.02251537008863157
0.05,5e-06,0.05,0.1,0.1,0.053902278956779216,656.9914246004323,0.0778216073952571,0.0018726263430808884,0.14142135623730953,0.011192924828997091
0.05,5e-06,0.05,0.1,0.1,0.028507825399205673,576.1829342353882,0.004628862695780897,9.330052106871975e-05,0.14142135623730953,0.011251369538956743
0.05,5e-06,0.05,0.1,0.1,0.026949442992697616,540.5016287931412,0.006143825985221596,0.0001057463108598354,0.14142135623730953,0.009509986712344055
0.05,5e-06,0.05,0.1,0.1,0.025655480805528513,510.64596379123066,0.008280804216823378,0.00012205521091598851,0.14142135623730953,0.008052059530876156
0.05,5e-06,0.05,0.1,0.1,0.02429346148096218,478.95130493403815,0.012701373932149823,0.00015271160377754368,0.14142135623730953,0.006456060773772037
0.05,5e-06,0.05,0.1,0.1,0.023248563293508377,454.41331103309506,0.020843584774732304,0.0002026714380210032,0.14142135623730953,0.005109694484551855
0.05,5e-06,0.05,0.1,0.1,0.02250826217063299,436.8915910232316,0.037046835706588864,0.000288640298021499,0.14142135623730953,0.003981678424550222
0.05,5e-06,0.05,0.1,0.1,0.038587336275332076,693.8593478448299,0.003129746714323765,0.01626842459066836,0.14142135623730953,0.9271972109604988
0.05,5e-06,0.05,0.1,0.1,0.03632323435085834,648.3620387672512,0.003831620195881274,0.016265770817214247,0.14142135623730953,0.712450314583443
0.05,5e-06,0.05,0.1,0.1,0.034142594869984534,604.1912752227325,0.0049918090790568356,0.016262052676806617,0.14142135623730953,0.5179020586665085
0.05,5e-06,0.05,0.1,0.1,0.03187171732174217,557.7377398997708,0.007565563830001082,0.016255580110884345,0.14142135623730953,0.3281242593431946
0.05,5e-06,0.05,0.1,0.1,0.030462914500407962,528.632455145112,0.011264596539819254,0.016248264406315598,0.14142135623730953,0.21697961474532151
0.05,5e-06,0.05,0.1,0.1,0.028915111521287524,496.34838165290637,0.024200278403166568,0.01622980012015918,0.14142135623730953,0.10067954185542431
