Accessory,Q [m^3/s],K_avg,K_stdev
90° Bend (short),0.00075,0.8158136680244553,0.0289982602404913
90° Bend (short),0.0006500000000000001,0.8299883321252416,0.01394326450007054
90° Bend (short),0.00055,0.9207272452749983,0.01947447686373489
90° Bend (short),0.00045000000000000004,1.0547403502774424,0.05311357379174835
90° Bend (short),0.00035,1.3116315369078797,0.04809003470432488
90° Bend (short),0.00025,2.0320772252561445,0.07696008386904288
45° Mitre,0.00075,0.3839820863148263,0.045650490986259035
45° Mitre,0.0006500000000000001,0.3461416509959046,0.034153883373835535
45° Mitre,0.00055,0.40394982260064083,0.10243402051506124
45° Mitre,0.00045000000000000004,0.43715943034067967,0.029091502475455774
45° Mitre,0.00035,0.34963048854484496,0.07345874140187399
45° Mitre,0.00025,0.1850352123991179,0.1885129360409534
90° T,0.00075,2.496108832498556,0.10472940891164088
90° T,0.0006500000000000001,2.275836061617613,0.05217091861243177
90° T,0.00055,2.4551586695234753,0.12570720761557788
90° T,0.00045000000000000004,2.9906190031561417,0.19730816949344668
90° T,0.00035,3.5497564249361653,0.13315527661450108
90° T,0.00025,4.456319867130992,0.09425646802047692
Ball Valve,0.00075,0.7944358669497212,0.010472940891164122
Ball Valve,0.0006500000000000001,0.8982960988729127,0.02788652900014108
Ball Valve,0.00055,0.9445785109368918,0.0
Ball Valve,0.00045000000000000004,0.983481013361662,0.08727450742636726
Ball Valve,0.00035,1.1153047923439952,0.04809003470432488
Ball Valve,0.00025,1.685756847845452,0.0
Gate Valve,0.00075,1.0210405583419027,0.0
Gate Valve,0.0006500000000000001,1.0178346906813371,0.050913603279664134
Gate Valve,0.00055,1.1592399018939328,0.019474476863734835
Gate Valve,0.00045000000000000004,1.2328886925668934,0.0
Gate Valve,0.00035,1.3116315369078797,0.04809003470432488
Gate Valve,0.00025,1.4548765962383237,0.1885129360409534
Globe Valve,0.00075,7.331767435603412,0.09110054049698434
Globe Valve,0.0006500000000000001,8.554458288507714,0.18480305492809984
Globe Valve,0.00055,8.155611162716003,0.21421924550108262
Globe Valve,0.00045000000000000004,8.299439603381776,0.18778484100598708
Globe Valve,0.00035,9.302130040657985,0.17559997865843308
Globe Valve,0.00025,10.459206408916327,0.23088025160712805
90° Elbow,0.00075,1.8590503604714796,0.09308553476172071
90° Elbow,0.0006500000000000001,1.9627587973574538,0.11154611600056398
90° Elbow,0.00055,2.009935043834798,0.06360337509838247
90° Elbow,0.00045000000000000004,2.3492849709141184,0.05818300495091165
90° Elbow,0.00035,2.8822454934189574,0.07853069782555373
90° Elbow,0.00025,3.725199070375085,0.15392016773808553
Contraction,0.00055,1.3516614235217037,0.01344980834412007
Contraction,0.00045000000000000004,1.7257791849898712,0.009347710455281847
Contraction,0.00035,1.8600357062711033,0.014540121543124916
Contraction,0.00025,1.9564474479494394,0.015129680546675996
Contraction,0.00015,2.4849469742032135,0.0
Enlargement,0.00055,-0.34397918617978573,0.00255463745341091
Enlargement,0.00045000000000000004,-0.4728214427188869,0.010666566411218263
Enlargement,0.00035,-0.45120084344734473,0.005794626634269118
Enlargement,0.00025,-0.3928669534950711,0.007880818466183805
Enlargement,0.00015,-0.4945408801402248,0.039347921108732996
