d [mm],Q [litres/s],T [C],h1 [m],h2 [m],V_avg [m/s],v [m^2/s],Re_D,f_e,f_c,h_e [m],h_c [m]
7.7,0.4505595703125,25.5,-0.49951171875,9.7972412109375,9.6756664223437,8.956e-07,83187.39554717115,0.016616067421218652,0.018530086142327037,10.2967529296875,11.482844522508204
7.7,0.4505595703125,25.5,-0.49951171875,9.7972412109375,9.6756664223437,8.956e-07,83187.39554717115,0.016616067421218652,0.018530086142327037,10.2967529296875,11.482844522508204
7.7,0.4505595703125,25.5,-0.4427490234375,9.649658203125,9.6756664223437,8.956e-07,83187.39554717115,0.01628631084615588,0.018530086142327037,10.0924072265625,11.482844522508204
7.7,0.461548828125,25.5,-0.4427490234375,9.649658203125,9.911658286303302,8.956e-07,85216.35641417533,0.015520004836954664,0.018435417120090246,10.0924072265625,11.988252511653279
7.7,0.4505595703125,25.5,-0.49951171875,9.695068359375,9.6756664223437,8.956e-07,83187.39554717115,0.016451189133687268,0.018530086142327037,10.194580078125,11.482844522508204
7.7,0.35165625,25.5,-0.2838134765625,6.107666015625,7.551739646707279,8.956e-07,64926.7477441336,0.016931565316250764,0.019547546599570514,6.3914794921875,7.378983624970593
7.7,0.35165625,25.5,-0.295166015625,6.13037109375,7.551739646707279,8.956e-07,64926.7477441336,0.017021786801062047,0.019547546599570514,6.425537109375,7.378983624970593
7.7,0.35165625,25.5,-0.295166015625,6.13037109375,7.551739646707279,8.956e-07,64926.7477441336,0.017021786801062047,0.019547546599570514,6.425537109375,7.378983624970593
7.7,0.3406669921875,25.5,-0.295166015625,6.13037109375,7.3157477827476765,8.956e-07,62897.786877129416,0.018137679171995356,0.019683915773097214,6.425537109375,6.9733139537021485
7.7,0.35165625,25.5,-0.3292236328125,6.016845703125,7.551739646707279,8.956e-07,64926.7477441336,0.016811270003169055,0.019547546599570514,6.3460693359375,7.378983624970593
7.7,0.2527529296875,25.5,-0.204345703125,3.8939208984375,5.427812871070857,8.956e-07,46666.09994109602,0.021015522974970446,0.02103889260709683,4.0982666015625,4.102823946290415
7.7,0.2527529296875,25.5,-0.204345703125,3.8939208984375,5.427812871070857,8.956e-07,46666.09994109602,0.021015522974970446,0.02103889260709683,4.0982666015625,4.102823946290415
7.7,0.2637421875,25.5,-0.204345703125,3.8939208984375,5.6638047350304594,8.956e-07,48695.06080810019,0.019300714676665564,0.020837295670635473,4.0982666015625,4.424540455856404
7.7,0.2527529296875,25.5,-0.2156982421875,3.837158203125,5.427812871070857,8.956e-07,46666.09994109602,0.02078266399463836,0.02103889260709683,4.0528564453125,4.102823946290415
7.7,0.2527529296875,25.5,-0.2156982421875,3.837158203125,5.427812871070857,8.956e-07,46666.09994109602,0.02078266399463836,0.02103889260709683,4.0528564453125,4.102823946290415
7.7,0.153849609375,25.5,-0.1248779296875,1.7596435546875,3.3038860954344345,8.956e-07,28405.452138058445,0.026081987881226395,0.02362358952088939,1.884521484375,1.7068929788981577
7.7,0.153849609375,25.5,-0.1248779296875,1.7596435546875,3.3038860954344345,8.956e-07,28405.452138058445,0.026081987881226395,0.02362358952088939,1.884521484375,1.7068929788981577
7.7,0.153849609375,25.5,-0.113525390625,1.7369384765625,3.3038860954344345,8.956e-07,28405.452138058445,0.025610626654457246,0.02362358952088939,1.8504638671875,1.7068929788981577
7.7,0.153849609375,25.5,-0.1021728515625,1.7142333984375,3.3038860954344345,8.956e-07,28405.452138058445,0.025139265427688094,0.02362358952088939,1.81640625,1.7068929788981577
7.7,0.153849609375,25.5,-0.1021728515625,1.7142333984375,3.3038860954344345,8.956e-07,28405.452138058445,0.025139265427688094,0.02362358952088939,1.81640625,1.7068929788981577
7.7,0.0549462890625,25.5,-0.1248779296875,0.6357421875,1.1799593197980123,8.956e-07,10144.804335020874,0.08253220839910001,0.030764555893040044,0.7606201171875,0.2835273714648436
7.7,0.0549462890625,25.5,-0.1248779296875,0.6357421875,1.1799593197980123,8.956e-07,10144.804335020874,0.08253220839910001,0.030764555893040044,0.7606201171875,0.2835273714648436
7.7,0.0549462890625,25.5,-0.1248779296875,0.6470947265625,1.1799593197980123,8.956e-07,10144.804335020874,0.08376403240505673,0.030764555893040044,0.77197265625,0.2835273714648436
